Name,Status,Location,Manufacturer,Item_Type,Model,Inventory_Number,User
PC-DEV-001,Maintenance,Comptabilité,HP,Computer,ProDesk 400 G9,ITU-2026-0001,User 1
PC-DEV-002,En stock,Laboratoire IA,Lenovo,Computer,ThinkCentre M70,ITU-2026-0002,User 2
PC-DEV-003,En panne,Bibliothèque,Apple,Computer,MacBook Pro,ITU-2026-0003,
PC-DEV-004,En production,Magasin Informatique,Asus,Computer,VivoBook,ITU-2026-0004,User 4
MN-DEV-005,Maintenance,Salle 301,Dell,Monitor,OptiPlex 7010,ITU-2026-0005,User 5
PC-DEV-006,En stock,Administration,HP,Computer,ProDesk 400 G9,ITU-2026-0006,
PC-DEV-007,En panne,Comptabilité,Lenovo,Computer,ThinkCentre M70,ITU-2026-0007,User 7
PC-DEV-008,En production,Laboratoire IA,Apple,Computer,MacBook Pro,ITU-2026-0008,User 8
PC-DEV-009,Maintenance,Bibliothèque,Asus,Computer,VivoBook,ITU-2026-0009,
MN-DEV-010,En stock,Magasin Informatique,Dell,Monitor,OptiPlex 7010,ITU-2026-010,User 10
PC-DEV-011,En panne,Salle 301,HP,Computer,ProDesk 400 G9,ITU-2026-0011,User 11
PC-DEV-012,En production,Administration,Lenovo,Computer,ThinkCentre M70,ITU-2026-0012,
PC-DEV-013,Maintenance,Comptabilité,Apple,Computer,MacBook Pro,ITU-2026-0013,User 13
PC-DEV-014,En stock,Laboratoire IA,Asus,Computer,VivoBook,ITU-2026-0014,User 14
MN-DEV-015,En panne,Bibliothèque,Dell,Monitor,OptiPlex 7010,ITU-2026-0015,
PC-DEV-016,En production,Magasin Informatique,HP,Computer,ProDesk 400 G9,ITU-2026-0016,User 16
PC-DEV-017,Maintenance,Salle 301,Lenovo,Computer,ThinkCentre M70,ITU-2026-0017,User 17
PC-DEV-018,En stock,Administration,Apple,Computer,MacBook Pro,ITU-2026-0018,
PC-DEV-019,En panne,Comptabilité,Asus,Computer,VivoBook,ITU-2026-0019,User 19
MN-DEV-020,En production,Laboratoire IA,Dell,Monitor,OptiPlex 7010,ITU-2026-0020,User 20
PC-DEV-021,Maintenance,Bibliothèque,HP,Computer,ProDesk 400 G9,ITU-2026-0021,
PC-DEV-022,En stock,Magasin Informatique,Lenovo,Computer,ThinkCentre M70,ITU-2026-0022,User 22
PC-DEV-023,En panne,Salle 301,Apple,Computer,MacBook Pro,ITU-2026-0023,User 23
PC-DEV-024,En production,Administration,Asus,Computer,VivoBook,ITU-2026-0024,
MN-DEV-025,Maintenance,Comptabilité,Dell,Monitor,OptiPlex 7010,ITU-2026-0025,User 25
PC-DEV-026,En stock,Laboratoire IA,HP,Computer,ProDesk 400 G9,ITU-2026-0026,User 26
PC-DEV-027,En panne,Bibliothèque,Lenovo,Computer,ThinkCentre M70,ITU-2026-0027,
PC-DEV-028,En production,Magasin Informatique,Apple,Computer,MacBook Pro,ITU-2026-0028,User 28
PC-DEV-029,Maintenance,Salle 301,Asus,Computer,VivoBook,ITU-2026-0029,User 29
MN-DEV-030,En stock,Administration,Dell,Monitor,OptiPlex 7010,ITU-2026-0030,
PC-DEV-031,En panne,Comptabilité,HP,Computer,ProDesk 400 G9,ITU-2026-0031,User 31
PC-DEV-032,En production,Laboratoire IA,Lenovo,Computer,ThinkCentre M70,ITU-2026-0032,User 32
PC-DEV-033,Maintenance,Bibliothèque,Apple,Computer,MacBook Pro,ITU-2026-0033,
PC-DEV-034,En stock,Magasin Informatique,Asus,Computer,VivoBook,ITU-2026-0034,User 34
MN-DEV-035,En panne,Salle 301,Dell,Monitor,OptiPlex 7010,ITU-2026-0035,User 35
PC-DEV-036,En production,Administration,HP,Computer,ProDesk 400 G9,ITU-2026-0036,
PC-DEV-037,Maintenance,Comptabilité,Lenovo,Computer,ThinkCentre M70,ITU-2026-0037,User 37
PC-DEV-038,En stock,Laboratoire IA,Apple,Computer,MacBook Pro,ITU-2026-0038,User 38
PC-DEV-039,En panne,Bibliothèque,Asus,Computer,VivoBook,ITU-2026-0039,
MN-DEV-040,En production,Magasin Informatique,Dell,Monitor,OptiPlex 7010,ITU-2026-0040,User 40
PC-DEV-041,Maintenance,Salle 301,HP,Computer,ProDesk 400 G9,ITU-2026-0041,User 41
PC-DEV-042,En stock,Administration,Lenovo,Computer,ThinkCentre M70,ITU-2026-0042,
PC-DEV-043,En panne,Comptabilité,Apple,Computer,MacBook Pro,ITU-2026-0043,User 43
PC-DEV-044,En production,Laboratoire IA,Asus,Computer,VivoBook,ITU-2026-0044,User 44
MN-DEV-045,Maintenance,Bibliothèque,Dell,Monitor,OptiPlex 7010,ITU-2026-0045,
PC-DEV-046,En stock,Magasin Informatique,HP,Computer,ProDesk 400 G9,ITU-2026-0046,User 46
PC-DEV-047,En panne,Salle 301,Lenovo,Computer,ThinkCentre M70,ITU-2026-0047,User 47
PC-DEV-048,En production,Administration,Apple,Computer,MacBook Pro,ITU-2026-0048,
PC-DEV-049,Maintenance,Comptabilité,Asus,Computer,VivoBook,ITU-2026-0049,User 49
MN-DEV-050,En stock,Laboratoire IA,Dell,Monitor,OptiPlex 7010,ITU-2026-0050,User 50
PC-DEV-051,En panne,Bibliothèque,HP,Computer,ProDesk 400 G9,ITU-2026-0051,
PC-DEV-052,En production,Magasin Informatique,Lenovo,Computer,ThinkCentre M70,ITU-2026-0052,User 52
PC-DEV-053,Maintenance,Salle 301,Apple,Computer,MacBook Pro,ITU-2026-0053,User 53
PC-DEV-054,En stock,Administration,Asus,Computer,VivoBook,ITU-2026-0054,
MN-DEV-055,En panne,Comptabilité,Dell,Monitor,OptiPlex 7010,ITU-2026-0055,User 55
PC-DEV-056,En production,Laboratoire IA,HP,Computer,ProDesk 400 G9,ITU-2026-0056,User 56
PC-DEV-057,Maintenance,Bibliothèque,Lenovo,Computer,ThinkCentre M70,ITU-2026-0057,
PC-DEV-058,En stock,Magasin Informatique,Apple,Computer,MacBook Pro,ITU-2026-0058,User 58
PC-DEV-059,En panne,Salle 301,Asus,Computer,VivoBook,ITU-2026-0059,User 59
MN-DEV-060,En production,Administration,Dell,Monitor,OptiPlex 7010,ITU-2026-0060,
PC-DEV-061,Maintenance,Comptabilité,HP,Computer,ProDesk 400 G9,ITU-2026-0061,User 61
PC-DEV-062,En stock,Laboratoire IA,Lenovo,Computer,ThinkCentre M70,ITU-2026-0062,User 62
PC-DEV-063,En panne,Bibliothèque,Apple,Computer,MacBook Pro,ITU-2026-0063,
PC-DEV-064,En production,Magasin Informatique,Asus,Computer,VivoBook,ITU-2026-0064,User 64
MN-DEV-065,Maintenance,Salle 301,Dell,Monitor,OptiPlex 7010,ITU-2026-0065,User 65
PC-DEV-066,En stock,Administration,HP,Computer,ProDesk 400 G9,ITU-2026-0066,
PC-DEV-067,En panne,Comptabilité,Lenovo,Computer,ThinkCentre M70,ITU-2026-0067,User 67
PC-DEV-068,En production,Laboratoire IA,Apple,Computer,MacBook Pro,ITU-2026-0068,User 68
PC-DEV-069,Maintenance,Bibliothèque,Asus,Computer,VivoBook,ITU-2026-0069,
MN-DEV-070,En stock,Magasin Informatique,Dell,Monitor,OptiPlex 7010,ITU-2026-0070,User 70
PC-DEV-071,En panne,Salle 301,HP,Computer,ProDesk 400 G9,ITU-2026-0071,User 71
PC-DEV-072,En production,Administration,Lenovo,Computer,ThinkCentre M70,ITU-2026-0072,
PC-DEV-073,Maintenance,Comptabilité,Apple,Computer,MacBook Pro,ITU-2026-0073,User 73
PC-DEV-074,En stock,Laboratoire IA,Asus,Computer,VivoBook,ITU-2026-0074,User 74
MN-DEV-075,En panne,Bibliothèque,Dell,Monitor,OptiPlex 7010,ITU-2026-0075,
PC-DEV-076,En production,Magasin Informatique,HP,Computer,ProDesk 400 G9,ITU-2026-0076,User 76
PC-DEV-077,Maintenance,Salle 301,Lenovo,Computer,ThinkCentre M70,ITU-2026-0077,User 77
PC-DEV-078,En stock,Administration,Apple,Computer,MacBook Pro,ITU-2026-0078,
PC-DEV-079,En panne,Comptabilité,Asus,Computer,VivoBook,ITU-2026-0079,User 79
MN-DEV-080,En production,Laboratoire IA,Dell,Monitor,OptiPlex 7010,ITU-2026-0080,User 80
PC-DEV-081,Maintenance,Bibliothèque,HP,Computer,ProDesk 400 G9,ITU-2026-0081,
PC-DEV-082,En stock,Magasin Informatique,Lenovo,Computer,ThinkCentre M70,ITU-2026-0082,User 82
PC-DEV-083,En panne,Salle 301,Apple,Computer,MacBook Pro,ITU-2026-0083,User 83
PC-DEV-084,En production,Administration,Asus,Computer,VivoBook,ITU-2026-0084,
MN-DEV-085,Maintenance,Comptabilité,Dell,Monitor,OptiPlex 7010,ITU-2026-0085,User 85
PC-DEV-086,En stock,Laboratoire IA,HP,Computer,ProDesk 400 G9,ITU-2026-0086,User 86
