Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
1,01/06/2026,10:07,Incident,Problème 1,Description détaillée du problème numéro 1,New,Low,"[""PC-DEV-001""]"
2,02/06/2026,11:14,Request,Problème 2,Description détaillée du problème numéro 2,Processing,Medium,"[""PC-DEV-002""]"
3,03/06/2026,12:21,Incident,Problème 3,Description détaillée du problème numéro 3,Solved,High,"[""PC-DEV-003""]"
4,04/06/2026,13:28,Request,Problème 4,Description détaillée du problème numéro 4,Closed,Low,"[""PC-DEV-004""]"
5,05/06/2026,14:35,Incident,Problème 5,Description détaillée du problème numéro 5,New,Medium,"[""MN-DEV-005""]"
6,06/06/2026,15:42,Request,Problème 6,Description détaillée du problème numéro 6,Processing,High,"[""PC-DEV-006""]"
7,07/06/2026,16:49,Incident,Problème 7,Description détaillée du problème numéro 7,Solved,Low,"[""PC-DEV-007""]"
8,08/06/2026,17:56,Request,Problème 8,Description détaillée du problème numéro 8,Closed,Medium,"[""PC-DEV-008""]"
9,09/06/2026,10:03,Incident,Problème 9,Description détaillée du problème numéro 9,New,High,"[""PC-DEV-009""]"
10,10/06/2026,11:10,Request,Problème 10,Description détaillée du problème numéro 10,Processing,Low,"[""MN-DEV-010""]"
11,11/06/2026,12:17,Incident,Problème 11,Description détaillée du problème numéro 11,Solved,Medium,"[""PC-DEV-011""]"
12,12/06/2026,13:24,Request,Problème 12,Description détaillée du problème numéro 12,Closed,High,"[""PC-DEV-012""]"
13,13/06/2026,14:31,Incident,Problème 13,Description détaillée du problème numéro 13,New,Low,"[""PC-DEV-013""]"
14,14/06/2026,15:38,Request,Problème 14,Description détaillée du problème numéro 14,Processing,Medium,"[""PC-DEV-014""]"
15,15/06/2026,16:45,Incident,Problème 15,Description détaillée du problème numéro 15,Solved,High,"[""MN-DEV-015""]"
16,16/06/2026,17:52,Request,Problème 16,Description détaillée du problème numéro 16,Closed,Low,"[""PC-DEV-016""]"
17,17/06/2026,10:59,Incident,Problème 17,Description détaillée du problème numéro 17,New,Medium,"[""PC-DEV-017""]"
18,18/06/2026,11:06,Request,Problème 18,Description détaillée du problème numéro 18,Processing,High,"[""PC-DEV-018""]"
19,19/06/2026,12:13,Incident,Problème 19,Description détaillée du problème numéro 19,Solved,Low,"[""PC-DEV-019""]"
20,20/06/2026,13:20,Request,Problème 20,Description détaillée du problème numéro 20,Closed,Medium,"[""MN-DEV-020""]"
21,21/06/2026,14:27,Incident,Problème 21,Description détaillée du problème numéro 21,New,High,"[""PC-DEV-021""]"
22,22/06/2026,15:34,Request,Problème 22,Description détaillée du problème numéro 22,Processing,Low,"[""PC-DEV-022""]"
23,23/06/2026,16:41,Incident,Problème 23,Description détaillée du problème numéro 23,Solved,Medium,"[""PC-DEV-023""]"
24,24/06/2026,17:48,Request,Problème 24,Description détaillée du problème numéro 24,Closed,High,"[""PC-DEV-024""]"
25,25/06/2026,10:55,Incident,Problème 25,Description détaillée du problème numéro 25,New,Low,"[""MN-DEV-025""]"
26,26/06/2026,11:02,Request,Problème 26,Description détaillée du problème numéro 26,Processing,Medium,"[""PC-DEV-026""]"
27,27/06/2026,12:09,Incident,Problème 27,Description détaillée du problème numéro 27,Solved,High,"[""PC-DEV-027""]"
28,28/06/2026,13:16,Request,Problème 28,Description détaillée du problème numéro 28,Closed,Low,"[""PC-DEV-028""]"
29,29/06/2026,14:23,Incident,Problème 29,Description détaillée du problème numéro 29,New,Medium,"[""PC-DEV-029""]"
30,30/06/2026,15:30,Request,Problème 30,Description détaillée du problème numéro 30,Processing,High,"[""MN-DEV-030""]"
31,01/06/2026,16:37,Incident,Problème 31,Description détaillée du problème numéro 31,Solved,Low,"[""PC-DEV-031""]"
32,02/06/2026,17:44,Request,Problème 32,Description détaillée du problème numéro 32,Closed,Medium,"[""PC-DEV-032""]"
33,03/06/2026,10:51,Incident,Problème 33,Description détaillée du problème numéro 33,New,High,"[""PC-DEV-033""]"
34,04/06/2026,11:58,Request,Problème 34,Description détaillée du problème numéro 34,Processing,Low,"[""PC-DEV-034""]"
35,05/06/2026,12:05,Incident,Problème 35,Description détaillée du problème numéro 35,Solved,Medium,"[""MN-DEV-035""]"
36,06/06/2026,13:12,Request,Problème 36,Description détaillée du problème numéro 36,Closed,High,"[""PC-DEV-036""]"
37,07/06/2026,14:19,Incident,Problème 37,Description détaillée du problème numéro 37,New,Low,"[""PC-DEV-037""]"
38,08/06/2026,15:26,Request,Problème 38,Description détaillée du problème numéro 38,Processing,Medium,"[""PC-DEV-038""]"
