Num_Ticket,Duration_second,Time_Cost,Fixed_Cost
1,0,0,109
1,600,"8,7",50
2,0,0,109
3,600,"8,7",50
4,1200,"15,5",0
5,0,0,25
6,1800,"20,0",100
7,0,0,75
8,3600,"12,0",150
9,0,0,0
10, 900 s ,"10.5 €", 30 €
11,7200s, 25.0€ , 200€
12,0,0,50
13,600,"8,7",100
14,1200,"15,5",0
15,0,0,25
16,1800,"20,0",150
17,0,0,75
18,3600,"12,0",100
19,0,0,0
20,900,"10,5",30
21,7200,"25,0",250
22,0,0,120
23,600,"8,7",50
24,1200,"15,5",0
25,0,0,45
26,1800,"20,0",110
27,0,0,80
28,3600,"12,0",160
29,0,0,0
30,900,"10,5",35
31,7200,"25,0",220
32,0,0,130
33,600,"8,7",55
34,1200,"15,5",0
35,0,0,30
36,1800,"20,0",120
37,0,0,85
38,3600,"12,0",170
39,0,0,0
40,900,"10,5",40
41,7200,"25,0",240
42,0,0,140
43,600,"8,7",60
44,1200,"15,5",0
45,0,0,35
46,1800,"20,0",130
47,0,0,90
48,3600,"12,0",180
49,0,0,0
50,900,"10,5",45
51,7200,"25,0",260
52,0,0,150
53,600,"8,7",65
54,1200,"15,5",0
55,0,0,40
56,1800,"20,0",140
57,0,0,95
58,3600,"12,0",190
59,0,0,0
60,900,"10,5",50
61,7200,"25,0",280
62,0,0,160
63,600,"8,7",70
64,1200,"15,5",0
65,0,0,45
66,1800,"20,0",150
67,0,0,100
68,3600,"12,0",200
69,0,0,0
70,900,"10,5",55
71,7200,"25,0",300
72,0,0,170
73,600,"8,7",75
74,1200,"15,5",0
75,0,0,50
76,1800,"20,0",160
77,0,0,105
78,3600,"12,0",210
79,0,0,0
80,900,"10,5",60
81,7200,"25,0",320
82,0,0,180
83,600,"8,7",80
84,1200,"15,5",0
85,0,0,55
86,1800,"20,0",170
87,0,0,110
88,3600,"12,0",220
89,0,0,0
90,900,"10,5",65
91,7200,"25,0",340
92,0,0,190
93,600,"8,7",85
94,1200,"15,5",0
95,0,0,60
96,1800,"20,0",180
97,0,0,115
98,3600,"12,0",230
99,0,0,0
