Num_Ticket,Duration_second,Time_Cost,Fixed_Cost
1,3600,"10,00","50,00"
2,1800,"8,50","25,00"
3,5400,"15,00","100,00"
4,0,"0,00","0,00"
5,7200,"20,00","120,00"
6,3600,"12,00","40,00"
7,1800,"8,00","15,00"
8,5400,"16,50","85,00"
9,0,"0,00","0,00"
10,7200,"22,00","130,00"
11,3600,"11,50","45,00"
12,1800,"9,00","20,00"
13,5400,"14,00","95,00"
14,0,"0,00","0,00"
15,7200,"25,00","140,00"
16,3600,"13,00","50,00"
17,1800,"7,50","10,00"
18,5400,"17,00","75,00"
19,0,"0,00","0,00"
20,7200,"21,00","115,00"
21,3600,"10,50","55,00"
22,1800,"8,20","30,00"
23,5400,"15,50","105,00"
24,0,"0,00","0,00"
25,7200,"24,00","125,00"
26,3600,"12,50","35,00"
27,1800,"8,90","18,00"
28,5400,"16,00","90,00"
29,0,"0,00","0,00"
30,7200,"23,00","135,00"
31,3600,"11,00","60,00"
32,1800,"9,50","22,00"
33,5400,"13,50","100,00"
34,0,"0,00","0,00"
35,7200,"26,00","150,00"
36,3600,"14,00","48,00"
37,1800,"8,10","12,00"
38,5400,"18,00","80,00"
39,0,"0,00","0,00"
40,7200,"20,50","110,00"
41,3600,"10,20","52,00"
42,1800,"8,30","28,00"
43,5400,"15,20","102,00"
44,0,"0,00","0,00"
45,7200,"23,50","122,00"
46,3600,"12,20","38,00"
47,1800,"8,70","16,00"
48,5400,"16,80","88,00"
49,0,"0,00","0,00"
50,7200,"22,50","132,00"
51,3600,"11,20","58,00"
52,1800,"9,20","24,00"
53,5400,"13,80","98,00"
54,0,"0,00","0,00"
55,7200,"25,50","145,00"
56,3600,"13,50","46,00"
57,1800,"7,90","14,00"
58,5400,"17,50","78,00"
59,0,"0,00","0,00"
60,7200,"21,50","118,00"
61,3600,"10,80","54,00"
62,1800,"8,10","32,00"
63,5400,"15,80","108,00"
64,0,"0,00","0,00"
65,7200,"24,50","128,00"
66,3600,"12,80","34,00"
67,1800,"8,60","20,00"
68,5400,"16,20","92,00"
69,0,"0,00","0,00"
70,7200,"23,80","138,00"
71,3600,"11,40","62,00"
72,1800,"9,40","26,00"
73,5400,"13,20","102,00"
74,0,"0,00","0,00"
75,7200,"26,50","155,00"
76,3600,"14,50","44,00"
77,1800,"8,30","10,00"
78,5400,"18,50","82,00"
79,0,"0,00","0,00"
80,7200,"20,20","112,00"
81,3600,"10,10","50,00"
82,1800,"8,40","26,00"
83,5400,"15,40","104,00"
84,0,"0,00","0,00"
85,7200,"23,20","120,00"
86,3600,"12,40","36,00"
87,1800,"8,50","14,00"
88,5400,"16,60","86,00"
89,0,"0,00","0,00"
90,7200,"22,20","130,00"
91,3600,"11,10","56,00"
92,1800,"9,10","22,00"
93,5400,"13,90","96,00"
94,0,"0,00","0,00"
95,7200,"25,20","142,00"
96,3600,"13,20","42,00"
97,1800,"7,70","12,00"
98,5400,"17,20","76,00"
99,0,"0,00","0,00"
100,7200,"21,20","116,00"
